system:index,image_count,mean_ndvi,month,year,.geo
0,2,0.529055239,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,0.663539827,2,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2,0.568333139,3,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2,0.247274398,4,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2,0.204088814,5,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2,0.327959275,6,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2,0.513595033,7,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2,0.545187134,8,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2,0.417063376,9,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1,0.34454193,10,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2,0.301743445,11,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2,0.322420487,12,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2,0.515194249,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2,0.678811444,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2,0.560153474,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2,0.244929365,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2,0.213638851,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2,0.265996473,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2,0.283666054,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2,0.426949859,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2,0.516646387,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1,0.413908101,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2,0.366295595,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2,0.374705186,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2,0.454632674,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2,0.670381721,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2,0.564144396,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2,0.281975385,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2,0.203339553,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2,0.246711934,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2,0.440019214,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2,0.501689066,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2,0.533360676,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1,0.40440861,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2,0.319476413,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2,0.342595474,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2,0.592333308,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2,0.692682814,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2,0.51223228,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2,0.236959007,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2,0.218048284,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2,0.267465354,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2,0.342559908,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2,0.53490892,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2,0.527968471,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2,0.413749807,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,1,0.349211818,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2,0.391763768,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2,0.547608627,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2,0.668547146,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2,0.525850307,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2,0.243093884,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2,0.233606491,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2,0.283881198,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2,0.390251422,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2,0.523560656,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2,0.49204541,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1,0.419119335,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2,0.335270804,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2,0.380662002,12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2,0.526507189,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2,0.623945286,2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2,0.512417777,3,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2,0.255039901,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2,0.243038398,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2,0.300490002,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2,0.45853325,7,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2,0.561709279,8,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2,0.468385468,9,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,1,0.374315874,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2,0.326728352,11,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2,0.42981669,12,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2,0.59774872,1,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2,0.683714766,2,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2,0.537422518,3,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2,0.264594812,4,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2,0.240582603,5,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2,0.34571039,6,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2,0.465053819,7,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2,0.528565506,8,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2,0.496693121,9,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,1,0.360824031,10,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2,0.308887471,11,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2,0.377561957,12,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2,0.512517656,1,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2,0.585921939,2,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2,0.532786072,3,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2,0.29064057,4,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2,0.280029799,5,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2,0.390388981,6,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2,0.485475202,7,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2,0.550415538,8,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2,0.483364948,9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2,0.369635554,10,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,1,0.35213067,11,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2,0.439769268,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2,0.573389217,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2,0.644037132,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2,0.478809047,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2,0.257258851,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2,0.24124095,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2,0.259498901,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2,0.355706569,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
