system:index,NDVI_count,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_stdDev,image_count,month,year,.geo
0,71346,0.85055,0.5290552393915126,0.5410088417426756,-0.047850000000000004,0.12585495214742018,2,1.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,71346,0.8699000000000001,0.6635398273500916,0.6972499975943925,0.032999999999999995,0.12764481272770398,2,2.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,71346,0.79395,0.5683331388860156,0.591754585988822,0.009150000000000002,0.10495294055800412,2,3.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,71346,0.56505,0.24727439753378458,0.2441513631682683,0.05445,0.04005458879722208,2,4.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,71346,0.563,0.20408881417368582,0.19436792032267117,0.06875,0.045657449807372866,2,5.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,71346,0.73795,0.3279592747855461,0.3300686568486593,-0.00315,0.08280380042801944,2,6.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,71346,0.88865,0.5135950326179735,0.517660655211075,-0.0523,0.11726782384942736,2,7.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,71346,0.7763,0.5451871335532775,0.5527520645071584,0.005600000000000001,0.08485116789586944,2,8.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,71346,0.7222999999999999,0.4170633756527503,0.4081440378706218,0.02325,0.08445134322325208,2,9.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,71346,0.627,0.34454193018594387,0.3379009369839609,0.0608,0.06975627381903893,1,10.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,71346,0.6150500000000001,0.30174344544056125,0.29880434309400483,0.06185,0.06351600808338675,2,11.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,71346,0.7686,0.3224204865862339,0.3184275260194631,0.041650000000000006,0.07201235305638383,2,12.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,71346,0.84125,0.515194249063754,0.5254048536096028,0.0296,0.10990554100410467,2,1.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,71346,0.8836,0.6788114440657999,0.7089822952299899,0.048400000000000006,0.11969932435316412,2,2.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,71346,0.78515,0.5601534738764608,0.5761914042596525,0.0417,0.09428569646457499,2,3.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,71346,0.5093,0.24492936481255198,0.23922164566017257,0.08045,0.03757822437261589,2,4.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,71346,0.54575,0.21363885057743995,0.2050585663367972,-0.018000000000000002,0.04564224109239223,2,5.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,71346,0.5966500000000001,0.26599647277100635,0.2558439954846046,0.002599999999999998,0.06235600896795797,2,6.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,71346,0.68955,0.28366605430087116,0.2792593927306451,-0.011700000000000002,0.0679334257307087,2,7.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,71346,0.8843000000000001,0.42694985854613293,0.42576304109366886,-0.115,0.09856031778548692,2,8.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,71346,0.80015,0.516646386640015,0.5214457372381465,-0.1562,0.09431936385866767,2,9.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,71346,0.7257,0.41390810086776514,0.41594102534558863,-0.031900000000000005,0.08246898457442915,1,10.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,71346,0.6899500000000001,0.366295595472366,0.36524106221106667,-0.0097,0.07326714590930998,2,11.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,71346,0.7724500000000001,0.37470518582687135,0.37305571113265107,0.0512,0.08468209648609303,2,12.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,71346,0.8388500000000001,0.4546326744534909,0.44345475955213853,0.0109,0.13664350232261432,2,1.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,71346,0.8725,0.6703817206411087,0.6972595966959607,0.05795,0.11243754591264359,2,2.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,71346,0.7816000000000001,0.5641443963700112,0.5761779359928952,0.0937,0.09803919793751595,2,3.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,71346,0.5668000000000001,0.2819753850707217,0.2792799085735293,-0.06225,0.047093269342681404,2,4.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,71346,0.49725,0.20333955285953895,0.19629073660078192,0.04535,0.03639277136448481,2,5.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,71346,0.6135,0.24671193427174407,0.23631545207952281,0.011949999999999999,0.06766272914774349,2,6.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,71346,0.8532000000000001,0.4400192136884156,0.44333814203155325,-0.1356,0.11567659833256036,2,7.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,71346,0.9433500000000001,0.5016890661281864,0.5097535113101096,-0.05305000000000001,0.12660344557706657,2,8.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,71346,0.80705,0.5333606759728285,0.5371068892334135,-0.1155,0.10130263256251976,2,9.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,71343,0.7354,0.4044086099381029,0.3964977807742005,-0.17880000000000001,0.09592925103069372,1,10.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,71346,0.6346,0.3194764131362689,0.31445377524907736,-0.045700000000000005,0.06718972217864895,2,11.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,71346,0.77485,0.3425954739981409,0.34175896785681154,-0.013200000000000002,0.14373256196697504,2,12.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,71346,0.8515,0.5923333078352714,0.6035362510190855,-0.008249999999999993,0.10617295788686448,2,1.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
